expiry,dte,otm7_strike,otm7_prem,otm7_usd,spread_net,spread_usd,spread_maxgain_usd,otm7_oi
2026-06-26,8,74.0,0.01,2,-0.01,-2,252,103
2026-07-02,14,75.0,0.02,2,0.0,0,0,1143
2026-07-10,22,75.0,0.09,8,0.0,0,0,6
2026-07-17,29,74.0,0.03,2,-0.07,-8,608,107116
2026-07-24,36,75.0,0.11,11,0.02,2,398,37
2026-08-21,64,74.0,0.13,13,0.14,14,586,24671
2026-09-18,92,74.0,0.22,22,0.67,66,534,126805
2026-10-16,120,74.0,0.37,37,0.38,38,562,11432
2026-11-20,155,74.0,0.52,52,0.73,73,528,3750
2026-12-18,183,74.0,0.65,64,0.63,63,537,4145
2027-01-15,211,74.0,1.58,158,1.04,104,496,102
2027-02-19,246,74.0,0.0,0,-0.64,-64,664,0
2027-03-19,274,74.0,1.77,178,-0.7,-70,670,931
2027-04-16,302,74.0,2.08,208,0.3,30,570,1438
2027-05-21,337,75.0,1.71,170,-0.17,-17,517,2784
2028-01-21,582,74.0,3.02,302,1.61,161,439,113
