category,command,providers,free_providers,free_available
cftc,cftc.cot,cftc,cftc,YES
cftc,cftc.cot_search,cftc,cftc,YES
commodity,commodity.petroleum_status_report,eia,eia,YES
commodity,commodity.price.spot,fred,fred,YES
commodity,commodity.psd_data,government_us,government_us,YES
commodity,commodity.psd_report,government_us,government_us,YES
commodity,commodity.short_term_energy_outlook,eia,eia,YES
commodity,commodity.weather_bulletins,government_us,government_us,YES
commodity,commodity.weather_bulletins_download,government_us,government_us,YES
crypto,crypto.price.historical,"fmp,tiingo,yfinance",yfinance,YES
crypto,crypto.search,fmp,,no(需付费)
currency,currency.price.historical,"fmp,tiingo,yfinance",yfinance,YES
currency,currency.search,"fmp,intrinio",,no(需付费)
currency,currency.snapshots,fmp,,no(需付费)
derivatives,derivatives.futures.curve,yfinance,yfinance,YES
derivatives,derivatives.futures.historical,yfinance,yfinance,YES
derivatives,derivatives.options.chains,"intrinio,yfinance",yfinance,YES
derivatives,derivatives.options.snapshots,intrinio,,no(需付费)
derivatives,derivatives.options.unusual,intrinio,,no(需付费)
economy,economy.available_indicators,"econdb,imf","econdb,imf",YES
economy,economy.balance_of_payments,fred,fred,YES
economy,economy.calendar,"fmp,fred,tradingeconomics","fred,tradingeconomics",YES
economy,economy.central_bank_holdings,federal_reserve,federal_reserve,YES
economy,economy.composite_leading_indicator,oecd,oecd,YES
economy,economy.country_profile,econdb,econdb,YES
economy,economy.cpi,"fred,imf,oecd","fred,imf,oecd",YES
economy,economy.direction_of_trade,imf,imf,YES
economy,economy.export_destinations,econdb,econdb,YES
economy,economy.fomc_documents,federal_reserve,federal_reserve,YES
economy,economy.fred_regional,fred,fred,YES
economy,economy.fred_release_table,fred,fred,YES
economy,economy.fred_search,fred,fred,YES
economy,economy.fred_series,"fred,intrinio",fred,YES
economy,economy.gdp.forecast,oecd,oecd,YES
economy,economy.gdp.nominal,"econdb,oecd","econdb,oecd",YES
economy,economy.gdp.real,"econdb,oecd","econdb,oecd",YES
economy,economy.house_price_index,oecd,oecd,YES
economy,economy.indicators,"econdb,imf","econdb,imf",YES
economy,economy.interest_rates,oecd,oecd,YES
economy,economy.money_measures,federal_reserve,federal_reserve,YES
economy,economy.pce,fred,fred,YES
economy,economy.primary_dealer_fails,federal_reserve,federal_reserve,YES
economy,economy.primary_dealer_positioning,federal_reserve,federal_reserve,YES
economy,economy.retail_prices,fred,fred,YES
economy,economy.risk_premium,fmp,,no(需付费)
economy,economy.share_price_index,oecd,oecd,YES
economy,economy.shipping.chokepoint_info,imf,imf,YES
economy,economy.shipping.chokepoint_volume,imf,imf,YES
economy,economy.shipping.port_info,imf,imf,YES
economy,economy.shipping.port_volume,"econdb,imf","econdb,imf",YES
economy,economy.survey.bls_search,bls,bls,YES
economy,economy.survey.bls_series,bls,bls,YES
economy,economy.survey.economic_conditions_chicago,fred,fred,YES
economy,economy.survey.inflation_expectations,federal_reserve,federal_reserve,YES
economy,economy.survey.manufacturing_outlook_ny,fred,fred,YES
economy,economy.survey.manufacturing_outlook_texas,fred,fred,YES
economy,economy.survey.nonfarm_payrolls,fred,fred,YES
economy,economy.survey.sloos,fred,fred,YES
economy,economy.survey.university_of_michigan,fred,fred,YES
economy,economy.total_factor_productivity,federal_reserve,federal_reserve,YES
economy,economy.unemployment,oecd,oecd,YES
equity,equity.calendar.dividend,fmp,,no(需付费)
equity,equity.calendar.earnings,fmp,,no(需付费)
equity,equity.calendar.events,fmp,,no(需付费)
equity,equity.calendar.ipo,"fmp,intrinio",,no(需付费)
equity,equity.calendar.splits,fmp,,no(需付费)
equity,equity.compare.company_facts,sec,sec,YES
equity,equity.compare.peers,fmp,,no(需付费)
equity,equity.discovery.active,"fmp,yfinance",yfinance,YES
equity,equity.discovery.aggressive_small_caps,yfinance,yfinance,YES
equity,equity.discovery.filings,fmp,,no(需付费)
equity,equity.discovery.gainers,"fmp,yfinance",yfinance,YES
equity,equity.discovery.growth_tech,yfinance,yfinance,YES
equity,equity.discovery.latest_financial_reports,sec,sec,YES
equity,equity.discovery.losers,"fmp,yfinance",yfinance,YES
equity,equity.discovery.undervalued_growth,yfinance,yfinance,YES
equity,equity.discovery.undervalued_large_caps,yfinance,yfinance,YES
equity,equity.estimates.analyst_search,benzinga,,no(需付费)
equity,equity.estimates.consensus,"fmp,intrinio,yfinance",yfinance,YES
equity,equity.estimates.forward_ebitda,"fmp,intrinio",,no(需付费)
equity,equity.estimates.forward_eps,"fmp,intrinio",,no(需付费)
equity,equity.estimates.forward_pe,intrinio,,no(需付费)
equity,equity.estimates.forward_sales,intrinio,,no(需付费)
equity,equity.estimates.historical,fmp,,no(需付费)
equity,equity.estimates.price_target,"benzinga,fmp",,no(需付费)
equity,equity.fundamental.balance,"fmp,intrinio,sec,yfinance","sec,yfinance",YES
equity,equity.fundamental.balance_growth,"fmp,sec",sec,YES
equity,equity.fundamental.cash,"fmp,intrinio,sec,yfinance","sec,yfinance",YES
equity,equity.fundamental.cash_growth,"fmp,sec",sec,YES
equity,equity.fundamental.dividends,"fmp,intrinio,yfinance",yfinance,YES
equity,equity.fundamental.employee_count,fmp,,no(需付费)
equity,equity.fundamental.esg_score,fmp,,no(需付费)
equity,equity.fundamental.filings,"fmp,intrinio,sec",sec,YES
equity,equity.fundamental.historical_attributes,intrinio,,no(需付费)
equity,equity.fundamental.historical_eps,fmp,,no(需付费)
equity,equity.fundamental.historical_splits,fmp,,no(需付费)
equity,equity.fundamental.income,"fmp,intrinio,sec,yfinance","sec,yfinance",YES
equity,equity.fundamental.income_growth,"fmp,sec",sec,YES
equity,equity.fundamental.latest_attributes,intrinio,,no(需付费)
equity,equity.fundamental.management,"fmp,yfinance",yfinance,YES
equity,equity.fundamental.management_compensation,fmp,,no(需付费)
equity,equity.fundamental.management_discussion_analysis,sec,sec,YES
equity,equity.fundamental.metrics,"fmp,intrinio,yfinance",yfinance,YES
equity,equity.fundamental.ratios,"fmp,intrinio",,no(需付费)
